"timestamp","happy1","ID","tutorial","travel","direction","born","sports","aware","morning_drink","breakfast","sleep","siblings","siblings_number","pets","beer","coffee","Pineapple_Pizza","Pinky","OS","hand","energy","shoes","phone","Apartment_Size","rooms","apps","countries","CB","Food_Money","season","Drink_Coffee","height","bother","happy2","tutorial_batch","time","major","morning_drink2"
"2026-04-07 12:30:21.09",9,"gover","Tutorial 5 (C11.319)",0.2,"N",8500,10,"energized","tea","yes",7,"yes",4,1,10,10,"No",2,"Apple",5,10,3,12,9.5,1,10,22,"yes",150,"Summer","milk",171,8,10,2026,1215,"GESS","tea"
"2026-04-07 12:30:23.387",7,"farwa","Tutorial 4 (C12.010)",5,"NW",5000,0,"awake","juice","no",8,"yes",1,3,4,3,"No",4,"Microsoft",8,7,20,12,13,3,12,6,"No",450,"Spring","Other",165,6,7,2026,1215,"GESS","other"
"2026-04-07 12:32:09.365",5,"jalan3","Tutorial 5 (C11.319)",0.8,"SW",12.62,2,"tired","water","no",7,"yes",1,2,2,2,"do_not_mind",5.4,"Both",17,3,4,15.9,60,3,30,15,"yes",200,"Spring","Other",153,3,5,2026,1215,"GESS","water"
"2026-04-07 12:32:11.817",9,"schna10","Tutorial 5 (C11.319)",15,"N",100,8,"tired","coffee","yes",7,"yes",1,1,3,4,"do_not_mind",6,"Microsoft",16,6,5,17,83,2,30,6,"yes",150,"Summer","black",190,1,9,2026,1215,"GESS","coffee"
"2026-04-07 12:32:22.387",7,"sophi27","Tutorial 4 (C12.010)",0.5,"SW",60,2,"tired","coffee","yes",7,"yes",1,0,2,2,"No",5.5,"Apple",20,4,12,14,80,2,25,23,"yes",250,"Summer","milk",171,2,7,2026,1215,"GESS","coffee"
"2026-04-07 12:32:27.75",8,"imapf2","Tutorial 4 (C12.010)",3,"N",450,2,"tired","water","yes",8,"yes",1,3,4,5,"No",4,"Apple",20,6,8,14,80,2,35,20,"yes",200,"Summer","milk",190,1,8,2026,1215,"GESS","water"
"2026-04-07 12:33:14.276",8,"alqan4","Tutorial 5 (C11.319)",2.7,"SE",3007,0.5,"awake","coffee","no",8,"yes",2,10,3,3,"No",7.5,"Microsoft",19,8,4,16.5,75,3,225,7,"yes",180,"Fall","sugar_milk",172,5,8,2026,1215,"GESS","coffee"
"2026-04-07 12:33:24.432",9,"fried54","Tutorial 5 (C11.319)",3,"W",75,3,"energized","coffee","yes",6,"yes",1,3,3,3,"Yes",7,"Microsoft",19,9,3,17,26,0,25,8,"yes",160,"Summer","black",185,3,9,2026,1215,"GESS","coffee"
"2026-04-07 12:33:29.68",8,"achte53","Tutorial 5 (C11.319)",2,"SE",64,5,"awake","coffee","yes",7,"yes",1,5,3,3,"No",4,"Microsoft",10,7,6,11,34,0,40,16,"yes",200,"Summer","milk",189,7,8,2026,1215,"GESS","coffee"
"2026-04-07 12:33:40.489",8,"hinte25","Tutorial 5 (C11.319)",5,"SW",73,8,"awake","tea_or_matcha","no",7,"yes",1,5,2,2,"No",4,"Apple",9,6,6,18,55,2,40,18,"yes",200,"Summer","milk",183,8,6,2026,1215,"GESS","tea"
"2026-04-07 12:34:37.691",7,"imdor11","Tutorial 6 (C5.325)",3,"N",500,3,"awake","coffee","yes",8,"yes",2,1,1,2,"do_not_mind",6,"Microsoft",18,7,5,14.5,70,3,150,12,"yes",100,"Spring","milk",160,5,7,2026,1215,"GESS","coffee"
"2026-04-07 12:35:17.318",7,"louis17","Tutorial 6 (C5.325)",3,"NE",5.529,1,"awake","warm_water","yes",10,"no",0,1,2,7,"No",7,"Apple",18,8,3,14,21,0,100,8,"yes",90,"Winter","sugar",164,5,7,2026,1215,"GESS","water"
